time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
59,0.007477,1.228428,0.013875,0.101921,0.004863,0.000489,0.994781,-0.061452,0.855976,0.250687,-0.017903,-0.065297,-0.003224,-0.9977,0.100172,0.845905,0.228014,-0.035799,0.087519,-0.034793,0.994911,0,0,0,0,0,0,0,1,0,0,0
60,0.004207,1.227204,0.014718,0.104545,0.001046,0.007332,0.994493,-0.060754,0.855971,0.250413,-0.017581,-0.067014,-0.003042,-0.997592,0.099194,0.8451,0.227703,-0.034478,0.08294,-0.030555,0.995489,0,0,0,0,0,0,0,1,0,0,0
61,0.005674,1.225661,0.014686,0.110136,0.002569,0.003925,0.993906,-0.060068,0.855318,0.25,-0.019854,-0.069111,-0.002787,-0.997407,0.098941,0.844193,0.227745,-0.032971,0.081807,-0.028572,0.995693,0,0,0,0,0,0,0,1,0,0,0
62,0.006599,1.226716,0.014615,0.107771,0.003629,0.00167,0.994168,-0.05994,0.855603,0.249729,-0.019734,-0.06955,-0.001848,-0.997382,0.098506,0.844445,0.227336,-0.034862,0.08046,-0.026937,0.995784,0,0,0,0,0,0,0,1,0,0,0
63,0.005866,1.22734,0.014299,0.105894,0.002954,0.004108,0.994365,-0.059788,0.855368,0.249761,-0.019243,-0.068612,-0.001401,-0.997457,0.098178,0.844523,0.227109,-0.035164,0.079437,-0.02598,0.995881,0,0,0,0,0,0,0,1,0,0,0
64,0.005655,1.227766,0.013531,0.104389,0.003155,0.005935,0.994514,-0.059381,0.855585,0.249665,-0.019739,-0.068406,-0.001745,-0.997461,0.09835,0.844325,0.227153,-0.035293,0.077966,-0.02495,0.996019,0,0,0,0,0,0,0,1,0,0,0
65,0.004997,1.229434,0.012257,0.099878,0.002255,0.005819,0.99498,-0.058945,0.855032,0.249436,-0.020703,-0.070173,-0.001062,-0.99732,0.0979,0.844097,0.227124,-0.035328,0.077731,-0.023795,0.996064,0,0,0,0,0,0,0,1,0,0,0
66,0.00546,1.22776,0.012744,0.103599,0.002675,0.004306,0.994606,-0.05901,0.854732,0.249097,-0.02067,-0.070666,-0.000807,-0.997286,0.097406,0.843831,0.22673,-0.03662,0.076697,-0.021873,0.996142,0,0,0,0,0,0,0,1,0,0,0
67,0.00484,1.227502,0.012326,0.104566,0.001231,0.005435,0.994502,-0.0589,0.85499,0.2489,-0.020554,-0.070869,-0.000827,-0.997274,0.097085,0.8434,0.226474,-0.037716,0.075872,-0.020282,0.996198,0,0,0,0,0,0,0,1,0,0,0
68,0.005868,1.228362,0.012072,0.103166,0.002688,0.003908,0.994653,-0.058353,0.854574,0.249126,-0.021878,-0.071247,-0.0006,-0.997219,0.096903,0.843247,0.226682,-0.036903,0.074541,-0.019943,0.996335,1,0,0,0,0,0,0,0,0,0,0
69,0.004388,1.228835,0.013314,0.100307,0.001665,0.005826,0.994938,-0.059028,0.855047,0.249016,-0.021258,-0.071167,-0.000881,-0.997237,0.096197,0.843212,0.226312,-0.037548,0.073762,-0.019093,0.996386,1,0,0,0,0,0,0,0,0,0,0
70,0.00442,1.228629,0.013883,0.100403,0.001443,0.006525,0.994924,-0.058746,0.855112,0.249049,-0.021239,-0.071785,-0.000993,-0.997193,0.096407,0.842904,0.226365,-0.038208,0.073367,-0.018389,0.996403,1,0,0,0,0,0,0,0,0,0,0
71,0.005159,1.227471,0.013335,0.103785,0.002152,0.005011,0.994585,-0.05815,0.854966,0.248555,-0.021936,-0.072519,-0.000594,-0.997126,0.096475,0.843036,0.226054,-0.038504,0.073056,-0.017749,0.996426,0,0,0,0,0,0,0,1,0,0,0
72,0.004446,1.22846,0.012762,0.102523,0.000398,0.006143,0.994712,-0.058018,0.854874,0.248523,-0.022681,-0.072709,-0.000319,-0.997095,0.095911,0.842771,0.225758,-0.038382,0.071408,-0.015915,0.996581,0,0,0,0,0,0,0,1,0,0,0
73,0.005548,1.22958,0.012714,0.099597,0.002801,0.005521,0.995009,-0.05751,0.855101,0.248665,-0.022621,-0.072364,-6.5e-05,-0.997122,0.096234,0.843135,0.226056,-0.038795,0.071949,-0.016149,0.996523,0,0,0,0,0,0,0,1,0,0,0
74,0.005374,1.2285,0.012315,0.101746,0.003399,0.005345,0.99479,-0.057691,0.85456,0.248389,-0.022719,-0.072373,0.000417,-0.997119,0.096742,0.843236,0.22623,-0.041378,0.075032,-0.016347,0.996188,0,0,0,0,0,0,0,1,0,0,0
75,0.00449,1.230067,0.01117,0.097287,0.002482,0.009091,0.995212,-0.057284,0.854009,0.248294,-0.023717,-0.073223,0.000661,-0.997033,0.096559,0.842994,0.226443,-0.039735,0.074715,-0.016922,0.996269,0,0,0,0,0,0,0,1,0,0,0
76,0.003971,1.229291,0.013502,0.096506,0.002156,0.005648,0.995314,-0.05709,0.854468,0.247757,-0.023457,-0.074314,0.000543,-0.996959,0.096159,0.843256,0.226016,-0.041282,0.073412,-0.018187,0.996281,0,0,0,0,0,0,0,1,0,0,0
77,0.004004,1.229564,0.013388,0.094957,0.001477,0.005887,0.995463,-0.057393,0.854611,0.247865,-0.022997,-0.073403,0.000781,-0.997037,0.096654,0.843584,0.226153,-0.04186,0.074361,-0.0173,0.996202,0,0,0,0,0,0,0,1,0,0,0
78,0.00418,1.229595,0.012551,0.094601,0.002151,0.009381,0.995469,-0.05706,0.854313,0.247819,-0.023017,-0.074107,0.001308,-0.996984,0.096531,0.843374,0.225916,-0.041958,0.073586,-0.01686,0.996263,0,0,0,0,0,0,0,1,0,0,0
79,0.004305,1.230129,0.011784,0.094227,0.004133,0.011835,0.995472,-0.056351,0.853585,0.247843,-0.024395,-0.07499,0.001618,-0.996884,0.096655,0.843024,0.226381,-0.041117,0.074853,-0.017939,0.996185,0,0,0,0,0,0,0,1,0,0,0
80,0.002144,1.231197,0.010127,0.091093,-0.000111,0.012782,0.99576,-0.05633,0.853876,0.24714,-0.023685,-0.075733,0.001916,-0.996845,0.096291,0.843107,0.225996,-0.043392,0.074584,-0.016693,0.99613,0,0,0,0,0,0,0,1,0,0,0
81,0.00269,1.232095,0.010351,0.087781,0.000457,0.011499,0.996073,-0.056,0.854035,0.247375,-0.023455,-0.075679,0.00213,-0.996854,0.096337,0.843107,0.226177,-0.043702,0.07418,-0.015442,0.996167,0,0,0,0,0,0,0,1,0,0,0
82,0.004531,1.23077,0.009068,0.090453,0.004376,0.007635,0.995862,-0.05582,0.853828,0.247006,-0.022967,-0.074922,0.00321,-0.99692,0.09643,0.842874,0.225942,-0.044163,0.07454,-0.01408,0.99614,0,0,0,0,0,0,0,1,0,0,0
83,0.006834,1.230845,0.009189,0.092808,0.00816,0.005647,0.995635,-0.055715,0.853441,0.247351,-0.024186,-0.075544,0.003216,-0.996844,0.096764,0.842506,0.226491,-0.043031,0.074379,-0.014067,0.996202,1,0,0,0,0,0,0,0,0,0,0
84,0.004311,1.232127,0.009562,0.089794,0.003845,0.008382,0.995918,-0.056408,0.853619,0.247528,-0.023991,-0.075279,0.00297,-0.996869,0.095782,0.842727,0.22591,-0.044053,0.073569,-0.013086,0.996231,1,0,0,0,0,0,0,0,0,0,0
85,0.005006,1.231655,0.00988,0.090008,0.004034,0.008211,0.995899,-0.05577,0.853538,0.247266,-0.024487,-0.076117,0.003129,-0.996793,0.095987,0.842764,0.225768,-0.043989,0.07297,-0.012859,0.996281,1,0,0,0,0,0,0,0,0,0,0
86,0.008961,1.230547,0.011427,0.092739,0.010032,0.001765,0.995638,-0.054945,0.852976,0.247008,-0.025051,-0.076831,0.003813,-0.996722,0.096399,0.842769,0.225718,-0.044786,0.072736,-0.012754,0.996264,1,0,0,0,0,0,0,0,0,0,0
87,0.007404,1.229633,0.010483,0.095781,0.007461,0.003678,0.995368,-0.055316,0.853065,0.24678,-0.025492,-0.076865,0.003249,-0.99671,0.095599,0.842447,0.225425,-0.043431,0.072042,-0.012529,0.996377,0,0,0,0,0,0,0,1,0,0,0
88,0.006022,1.230339,0.011129,0.094912,0.005572,0.004226,0.995461,-0.055416,0.853796,0.246995,-0.025428,-0.077179,0.003241,-0.996688,0.095258,0.842887,0.225586,-0.04319,0.071826,-0.011715,0.996413,0,0,0,0,0,0,0,1,0,0,0
89,0.008059,1.229388,0.011664,0.096128,0.009037,0.002583,0.995325,-0.05499,0.85348,0.246931,-0.025872,-0.077204,0.003168,-0.996675,0.095599,0.8425,0.225583,-0.043739,0.071689,-0.011264,0.996404,0,0,0,0,0,0,0,1,0,0,0
90,0.006085,1.230445,0.010937,0.093112,0.006589,0.007782,0.995603,-0.054937,0.852765,0.2467,-0.027255,-0.077542,0.003327,-0.996611,0.094981,0.842237,0.225445,-0.042434,0.071582,-0.011774,0.996462,0,0,0,0,0,0,0,1,0,0,0
91,0.004702,1.231503,0.011304,0.090702,0.004351,0.009419,0.995824,-0.054952,0.853065,0.246722,-0.026331,-0.077955,0.003498,-0.996603,0.094914,0.842657,0.225177,-0.042692,0.07103,-0.011531,0.996494,0,0,0,0,0,0,0,1,0,0,0
92,0.004436,1.230386,0.01112,0.092572,0.003183,0.009782,0.995653,-0.05491,0.853208,0.246582,-0.02602,-0.078045,0.00369,-0.996603,0.094835,0.842511,0.225268,-0.042761,0.070956,-0.010628,0.996506,0,0,0,0,0,0,0,1,0,0,0
93,0.005591,1.231712,0.010534,0.090015,0.005001,0.008447,0.995892,-0.054034,0.852868,0.246328,-0.02737,-0.078848,0.003287,-0.996505,0.094783,0.84197,0.225121,-0.040828,0.069619,-0.011056,0.996677,0,0,0,0,0,0,0,1,0,0,0
94,0.005702,1.231266,0.011294,0.090306,0.006039,0.008121,0.995863,-0.054513,0.853195,0.246488,-0.026565,-0.078348,0.003794,-0.996565,0.094702,0.842545,0.225119,-0.042327,0.070036,-0.010912,0.996586,0,0,0,0,0,0,0,1,0,0,0
95,0.005392,1.23139,0.010776,0.090238,0.005604,0.007969,0.995873,-0.054137,0.852781,0.246292,-0.026376,-0.079377,0.004477,-0.996486,0.095122,0.842418,0.225525,-0.042564,0.070926,-0.010737,0.996515,0,0,0,0,0,0,0,1,0,0,0
96,0.005147,1.230484,0.00994,0.09254,0.005308,0.009091,0.995653,-0.053617,0.851887,0.246093,-0.02784,-0.080056,0.004374,-0.996392,0.094991,0.842038,0.225387,-0.040938,0.071163,-0.010674,0.996567,0,0,0,0,0,0,0,1,0,0,0
97,0.003964,1.230588,0.011317,0.093155,0.003676,0.009957,0.995595,-0.054494,0.853031,0.246321,-0.026904,-0.080174,0.00306,-0.996413,0.09447,0.842302,0.225259,-0.04149,0.070301,-0.009996,0.996613,0,0,0,0,0,0,0,1,0,0,0
98,0.003979,1.229945,0.010975,0.094952,0.003757,0.00876,0.995436,-0.054225,0.85335,0.245704,-0.026459,-0.080175,0.003443,-0.996424,0.094444,0.842119,0.224872,-0.042198,0.069815,-0.009119,0.996625,0,0,0,0,0,0,0,1,0,0,0
99,0.006238,1.230114,0.011011,0.095687,0.007346,0.006727,0.995362,-0.053326,0.8523,0.245997,-0.028431,-0.080391,0.004154,-0.996349,0.095056,0.842047,0.225306,-0.040991,0.070395,-0.009342,0.996633,1,0,0,0,0,0,0,0,0,0,0
