time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,
58,0.027279,1.1115,-0.02597,0.062193,-0.101511,0.013876,-0.992792,-0.076052,0.745236,0.317054,0.026143,0.055981,0.063587,-0.996062,0.28781,0.71799,0.253512,-0.064224,0.207273,0.361247,0.90687,0,0,0,0,0,0,0,1,0,0,0,
59,0.019557,1.11636,-0.026973,0.083085,-0.084695,-0.007353,-0.99291,-0.075655,0.745492,0.317095,0.026601,0.055979,0.06295,-0.99609,0.288598,0.718215,0.253539,-0.06436,0.208226,0.360012,0.907133,1,0,0,0,0,0,0,0,0,0,0,
60,0.004513,1.122886,-0.028033,0.113057,-0.01389,-0.010409,-0.993437,-0.075903,0.745584,0.317172,0.026184,0.056251,0.062634,-0.996106,0.288377,0.718115,0.253443,-0.06369,0.208633,0.358797,0.907569,1,0,0,0,0,0,0,0,0,0,0,
61,0.004277,1.103637,-0.016055,0.020347,-0.007593,0.005523,-0.999749,-0.075983,0.745539,0.317647,0.026517,0.056269,0.06231,-0.996117,0.288478,0.717856,0.253954,-0.062638,0.207531,0.360067,0.907391,1,0,0,0,0,0,0,0,0,0,0,
62,0.004583,1.122842,-0.026055,0.11677,-0.011028,-0.00537,-0.993083,-0.075795,0.745619,0.317237,0.027747,0.05581,0.063252,-0.99605,0.288574,0.717488,0.253568,-0.064095,0.207929,0.360683,0.906954,0,0,0,0,0,0,0,1,0,0,0,
63,0.006613,1.134906,-0.042417,0.184401,-0.019324,-0.004815,-0.982649,-0.075609,0.745274,0.316057,0.027347,0.054568,0.063437,-0.996118,0.288055,0.717604,0.252558,-0.064435,0.208243,0.360131,0.907077,0,0,0,0,0,0,0,1,0,0,0,
64,0.040113,1.123858,-0.040778,0.133437,-0.179137,0.01007,-0.974681,-0.075939,0.74517,0.316557,0.026224,0.053869,0.064198,-0.996137,0.287704,0.718512,0.253407,-0.06439,0.208562,0.358441,0.907676,0,0,0,0,0,0,0,1,0,0,0,
65,0.009296,1.121178,-0.02749,0.108921,-0.02282,0.006556,-0.993767,-0.075612,0.745519,0.316606,0.027155,0.054008,0.063283,-0.996163,0.288181,0.718075,0.253017,-0.064323,0.207302,0.359871,0.907404,0,0,0,0,0,0,0,1,0,0,0,
66,-0.010861,1.122767,-0.029258,0.116428,0.083218,0.010661,-0.989649,-0.07494,0.746031,0.316486,0.027933,0.053853,0.062437,-0.996203,0.289065,0.717834,0.252969,-0.06447,0.20748,0.359849,0.907361,1,0,0,0,0,0,0,0,0,0,0,
67,-0.00776,1.104555,-0.01638,0.02375,0.069662,0.020521,-0.997077,-0.075251,0.745896,0.317107,0.026663,0.05378,0.062566,-0.996234,0.288661,0.717852,0.253797,-0.063908,0.206717,0.359177,0.907842,0,0,0,0,0,0,0,0,1,0,0,
68,-0.000322,1.115317,-0.022246,0.078245,0.025584,0.005668,-0.99659,-0.075444,0.746377,0.316501,0.028229,0.053385,0.061031,-0.996307,0.28844,0.717483,0.253058,-0.064557,0.206015,0.361818,0.906906,1,0,0,0,0,0,0,0,0,0,0,
69,0.010627,1.112861,-0.024303,0.069149,-0.027725,0.005888,-0.997204,-0.075527,0.746199,0.316149,0.028048,0.053359,0.061974,-0.996256,0.287928,0.717412,0.253191,-0.065142,0.205702,0.362193,0.906785,1,0,0,0,0,0,0,0,0,0,0,
70,-0.002381,1.115457,-0.022569,0.078832,0.050768,0.02176,-0.995357,-0.07488,0.746495,0.316206,0.027356,0.053018,0.062249,-0.996276,0.288396,0.717739,0.253038,-0.064966,0.205832,0.362353,0.906705,1,0,0,0,0,0,0,0,0,0,0,
71,0.014267,1.106788,-0.020006,0.035755,-0.062868,0.001545,-0.99738,-0.075913,0.74651,0.316349,0.027058,0.052935,0.061147,-0.996357,0.287569,0.717242,0.253633,-0.064046,0.205998,0.362169,0.906806,0,0,0,0,0,0,0,1,0,0,0,
72,0.006736,1.104092,-0.015363,0.024539,-0.018724,0.004318,-0.999514,-0.075468,0.746575,0.315974,0.027865,0.053258,0.061394,-0.996302,0.287156,0.717767,0.252358,-0.064425,0.204503,0.362893,0.906828,0,0,0,0,0,0,0,1,0,0,0,
73,0.002303,1.109067,-0.018203,0.048006,0.018785,0.020216,-0.998466,-0.075538,0.74667,0.316426,0.027158,0.053459,0.060719,-0.996352,0.287849,0.717376,0.253243,-0.064407,0.204826,0.362906,0.906751,1,0,0,0,0,0,0,0,0,0,0,
74,0.018463,1.108955,-0.020373,0.047236,-0.051734,0.025734,-0.997211,-0.075703,0.745962,0.31656,0.025239,0.052432,0.062084,-0.996373,0.287226,0.717408,0.253814,-0.064559,0.204543,0.362601,0.906926,0,0,0,0,0,0,0,0,1,0,0,
75,0.019558,1.111367,-0.020457,0.058956,-0.057207,0.018829,-0.996442,-0.074553,0.74679,0.31582,0.027108,0.05056,0.061191,-0.996476,0.287007,0.718965,0.252534,-0.066835,0.20504,0.363524,0.906279,0,0,0,0,0,0,0,1,0,0,0,
76,0.012845,1.112768,-0.020838,0.064495,-0.035381,0.011935,-0.997219,-0.07488,0.74743,0.315494,0.027692,0.05057,0.060584,-0.996497,0.287082,0.718024,0.252815,-0.066802,0.204433,0.363931,0.906255,1,0,0,0,0,0,0,0,0,0,0,
77,0.009171,1.099434,-0.012931,0.003443,-0.015428,0.017835,-0.999716,-0.075243,0.746775,0.315628,0.026675,0.052363,0.059959,-0.996469,0.287779,0.716791,0.25346,-0.065765,0.20391,0.363735,0.906528,1,0,0,0,0,0,0,0,0,0,0,
78,0.009209,1.121912,-0.02594,0.110317,-0.021227,0.00236,-0.993667,-0.075605,0.747116,0.315726,0.02807,0.05385,0.05957,-0.996375,0.288001,0.717035,0.253364,-0.06636,0.204453,0.363729,0.906364,1,0,0,0,0,0,0,0,0,0,0,
