time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
66,-0.012957,1.167102,-0.000768,0.051539,-0.012971,0.076688,0.995638,-0.018157,0.750003,0.293739,-0.045363,-0.072496,0.038712,-0.995584,0.169898,0.749151,0.256738,0.044093,0.12483,0.145501,0.980461,0,0,0,0,0,0,0,0,0,1,0
67,-0.012677,1.167043,-0.000863,0.052439,-0.012749,0.076775,0.995587,-0.017662,0.749842,0.293646,-0.044953,-0.072809,0.039256,-0.995559,0.169823,0.749047,0.256483,0.043577,0.124126,0.146211,0.980467,0,0,0,0,0,0,0,0,0,1,0
68,-0.013385,1.166804,-0.000423,0.053599,-0.013656,0.07785,0.99543,-0.017935,0.749893,0.293994,-0.04524,-0.072717,0.039144,-0.995557,0.169476,0.749064,0.256737,0.04437,0.123191,0.146425,0.980518,1,0,0,0,0,0,0,0,0,0,0
69,-0.014789,1.166118,-0.000301,0.055733,-0.015959,0.080539,0.995064,-0.017858,0.74975,0.29364,-0.045777,-0.072604,0.039324,-0.995533,0.169304,0.748681,0.256747,0.044995,0.123021,0.146123,0.980556,1,0,0,0,0,0,0,0,0,0,0
70,-0.015518,1.165252,0.000205,0.057648,-0.01836,0.081698,0.994819,-0.017921,0.750072,0.293891,-0.044713,-0.072654,0.038973,-0.995592,0.169371,0.748518,0.256714,0.044282,0.122587,0.146906,0.980525,1,0,0,0,0,0,0,0,0,0,0
71,-0.015033,1.165226,0.00076,0.058798,-0.018277,0.081317,0.994785,-0.017717,0.750058,0.29377,-0.044688,-0.072996,0.0393,-0.995555,0.169092,0.748591,0.256517,0.042987,0.122432,0.14906,0.980277,0,0,0,0,0,0,0,0,0,1,0
72,-0.015327,1.164952,0.000612,0.059553,-0.018269,0.081678,0.99471,-0.01779,0.750028,0.293637,-0.045415,-0.073323,0.039309,-0.995498,0.168455,0.748493,0.256496,0.043263,0.121778,0.149376,0.980299,1,0,0,0,0,0,0,0,0,0,0
73,-0.01543,1.164922,0.000814,0.059863,-0.01825,0.081663,0.994693,-0.017339,0.749758,0.293801,-0.045629,-0.073639,0.039722,-0.995448,0.168588,0.748822,0.256389,0.043459,0.121174,0.149625,0.980327,1,0,0,0,0,0,0,0,0,0,0
74,-0.01501,1.164781,0.000567,0.060393,-0.017823,0.081008,0.994722,-0.017336,0.749887,0.293529,-0.045241,-0.074309,0.039524,-0.995424,0.168305,0.748556,0.256143,0.043012,0.120245,0.150631,0.980307,1,0,0,0,0,0,0,0,0,0,0
75,-0.015129,1.164759,0.00108,0.06114,-0.018448,0.081515,0.994624,-0.017558,0.750059,0.293754,-0.044931,-0.074267,0.03952,-0.995442,0.16799,0.748573,0.256076,0.043285,0.119764,0.150989,0.980299,1,0,0,0,0,0,0,0,0,0,0
