time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
73,-0.028418,1.21378,-0.002457,-0.11157,0.026426,0.067254,0.991126,-0.104992,0.881334,0.394164,-0.076448,-0.068625,-0.091118,0.990527,0.030832,0.87478,0.39669,-0.077784,0.032937,0.186166,0.978881,0,0,0,0,0,0,0,1,0,0,0,
74,-0.026288,1.215713,-0.000681,-0.123874,0.047077,0.077553,0.988142,-0.104556,0.881068,0.394421,-0.07475,-0.066078,-0.092637,0.990689,0.029651,0.875601,0.395777,-0.074941,0.030224,0.190914,0.978275,1,0,0,0,0,0,0,0,0,0,0,
75,-0.031773,1.214418,0.000928,-0.123002,0.035953,0.086194,0.988002,-0.104977,0.881558,0.394293,-0.077488,-0.06787,-0.090899,0.990519,0.029985,0.874946,0.396634,-0.076312,0.032359,0.190052,0.978269,0,0,0,0,0,0,0,1,0,0,0,
76,-0.036744,1.210725,0.003472,-0.110354,0.013439,0.084793,0.990178,-0.105127,0.881343,0.393867,-0.078006,-0.068624,-0.090282,0.990482,0.030096,0.876155,0.39475,-0.076714,0.033426,0.189451,0.978318,0,0,0,0,0,0,0,1,0,0,0,
77,-0.031396,1.209284,0.004404,-0.100519,0.02164,0.073802,0.991958,-0.104383,0.881228,0.394217,-0.075418,-0.066606,-0.092703,0.990597,0.030132,0.87457,0.396712,-0.075008,0.031435,0.190158,0.978379,0,0,0,0,0,0,0,1,0,0,0,
78,-0.029179,1.21045,0.001027,-0.106524,0.03556,0.073634,0.990942,-0.104204,0.881722,0.394176,-0.076446,-0.067736,-0.092379,0.990472,0.030123,0.874802,0.396837,-0.076137,0.032957,0.190691,0.978138,1,0,0,0,0,0,0,0,0,0,0,
79,-0.027823,1.207666,0.001178,-0.093604,0.044315,0.078266,0.991539,-0.104611,0.881673,0.393821,-0.076341,-0.067767,-0.091536,0.990556,0.030291,0.874453,0.396803,-0.07602,0.033539,0.190256,0.978212,0,0,0,0,0,0,0,1,0,0,0,
80,-0.028946,1.208336,-0.000587,-0.09455,0.040205,0.077146,0.991712,-0.104949,0.881593,0.393971,-0.07578,-0.069026,-0.09212,0.990458,0.030171,0.874386,0.396932,-0.076862,0.034425,0.190022,0.978161,0,0,0,0,0,0,0,1,0,0,0,
81,-0.031235,1.210222,-0.004461,-0.10357,0.029531,0.074709,0.991373,-0.105119,0.881448,0.394013,-0.076558,-0.070384,-0.093079,0.990213,0.029934,0.874637,0.396878,-0.077082,0.034767,0.190625,0.978014,1,0,0,0,0,0,0,0,0,0,0,
82,-0.032938,1.208112,-0.003533,-0.094486,0.013164,0.067339,0.993159,-0.105113,0.881306,0.39386,-0.076225,-0.07074,-0.093271,0.990195,0.030339,0.87428,0.396853,-0.076393,0.035303,0.189099,0.978345,1,0,0,0,0,0,0,0,0,0,0,
83,-0.031953,1.208135,-0.00242,-0.092482,0.01198,0.065449,0.993489,-0.104547,0.881512,0.394198,-0.075011,-0.070027,-0.094987,0.990175,0.030351,0.874522,0.397403,-0.075651,0.034767,0.189822,0.978282,1,0,0,0,0,0,0,0,0,0,0,
84,-0.031647,1.213403,-0.002909,-0.112621,0.014054,0.057421,0.991878,-0.104375,0.881429,0.394406,-0.075288,-0.070838,-0.094092,0.990182,0.030697,0.874453,0.397438,-0.076442,0.035614,0.189386,0.978275,1,0,0,0,0,0,0,0,0,0,0,
85,-0.029112,1.214223,-0.004828,-0.128006,0.017336,0.047528,0.990482,-0.104479,0.881187,0.394306,-0.075733,-0.070954,-0.094378,0.990113,0.030733,0.874475,0.396961,-0.07642,0.036503,0.189558,0.97821,1,0,0,0,0,0,0,0,0,0,0,
86,-0.03014,1.209978,-0.003051,-0.10825,0.01413,0.050717,0.992729,-0.10487,0.88109,0.39407,-0.075566,-0.070977,-0.094646,0.990098,0.030419,0.87433,0.396789,-0.07623,0.036661,0.189561,0.978219,1,0,0,0,0,0,0,0,0,0,0,
87,-0.032376,1.205997,-0.000337,-0.085946,0.006466,0.056438,0.994679,-0.104309,0.881444,0.39415,-0.074819,-0.070226,-0.095532,0.990123,0.030281,0.874458,0.396776,-0.075697,0.036052,0.19092,0.978018,0,0,0,0,0,0,0,1,0,0,0,
88,-0.03088,1.206221,-3.20E-05,-0.087464,0.007297,0.054496,0.994649,-0.104262,0.881463,0.394302,-0.074772,-0.070421,-0.096221,0.990046,0.030093,0.87451,0.397061,-0.074903,0.036065,0.190807,0.978101,0,0,0,0,0,0,0,1,0,0,0,
89,-0.027386,1.207386,-0.00054,-0.091415,0.020285,0.054309,0.994124,-0.104159,0.881464,0.393998,-0.075854,-0.071451,-0.096439,0.989869,0.030699,0.874553,0.39695,-0.07581,0.037285,0.190112,0.978121,0,0,0,0,0,0,0,1,0,0,0,
90,-0.025734,1.206564,-0.00043,-0.09,0.030055,0.057164,0.993846,-0.104005,0.881256,0.393994,-0.076693,-0.071524,-0.097192,0.989725,0.030667,0.874553,0.396905,-0.075455,0.037421,0.190099,0.978146,0,0,0,0,0,0,0,1,0,0,0,
91,-0.027997,1.207443,-0.001496,-0.091635,0.029363,0.061904,0.993433,-0.104108,0.881386,0.394119,-0.076109,-0.071117,-0.097087,0.98981,0.030242,0.874528,0.397035,-0.074827,0.03701,0.191771,0.977883,0,0,0,0,0,0,0,1,0,0,0,
92,-0.028748,1.205134,3.20E-05,-0.082811,0.02296,0.06149,0.994401,-0.104298,0.880993,0.394223,-0.075302,-0.070632,-0.098071,0.98981,0.029708,0.874385,0.396918,-0.074138,0.036576,0.192141,0.977879,0,0,0,0,0,0,0,1,0,0,0,
